Camera,Latitude,Longitude,Longitude.UTM,Latitude.UTM,elevation.clean,slope.clean,vegetation.coarser.clean,blm.dist.clean,bound.dist.clean,fence.dist.clean,hq.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean
Cam01,39.00481,-123.09086,492132.8053,4317314.28,-1.230757236,-2.121653795,grassland,0.688774586,-0.116476618,-0.955256701,-1.333410144,-0.614544511,-0.575187683,-0.483316958,0.771159172,1.478898883,0.704394579,0.494383156,-0.380396366,-0.82828939,-0.741397619,-0.724632919
Cam02,39.00682,-123.09022,492188.4414,4317537.277,-1.226703882,-1.061952472,woodland,0.541442275,-0.507999122,-0.977657616,-1.222132564,-0.073619142,-0.910112679,0.275742084,1.275422096,1.463246226,0.374922186,0.101133369,1.21787703,-0.068654649,-0.653966188,-0.639982522
Cam03,39.01852,-123.09297,491951.663,4318835.882,-0.567177117,-0.919906139,grassland,-0.202844948,-0.088183284,-1.031336427,-0.155025676,-1.152847052,-0.202180877,-0.580162406,-0.463152856,-0.668605745,-0.932573974,-1.208374023,2.141147852,-1.48709929,-0.701626539,0.003709391
Cam04,39.01967,-123.09402,491860.8972,4318963.592,-0.50125891,-0.676289976,grassland,-0.252807975,-0.433109164,-0.993879199,-0.027935369,-1.164694786,0.059914757,-0.15425238,-0.42145434,-0.726058304,-1.084573627,-0.928944707,1.679477453,-1.520692587,-0.770490885,-0.13531886
Cam05,38.99844,-123.07067,493880.4261,4316605.843,-0.996299505,-1.920003772,grassland,0.915784955,-0.178894207,-0.984823108,-1.17667985,-0.843866646,-0.753776491,-0.897114456,-1.012785673,-1.423530102,-0.270134479,0.180183604,1.443790674,-0.214545324,-0.794906378,2.624601603
Cam06,38.99792,-123.06911,494015.4684,4316548.035,-1.016091704,-1.191148281,grassland,0.888397992,-0.503774583,-0.957819462,-1.060514927,-0.944196999,-0.965466142,-0.801813364,-0.848977685,-1.275582671,-0.323860288,0.044292416,1.853088498,0.311637551,-0.792937219,2.780834436
Cam07,38.98655,-123.06876,494044.8237,4315286.272,-1.043511271,-1.293647528,grassland,1.543931007,-0.570031047,-0.991620541,-0.308859766,-1.128043175,-0.881544232,-0.920724273,-1.232982874,-1.212699413,-0.713060677,-0.297550231,3.550407648,-1.294756413,-0.769102752,1.448083878
Cam08,38.99002,-123.06616,494270.2846,4315671.174,-1.020259261,-0.098656252,grassland,1.260514379,-1.141767621,-1.033379793,-0.464954406,1.034303546,-0.730962813,-0.194967091,0.247196212,-0.072734825,-0.349903852,-0.168874606,2.607378006,-0.524682462,-0.731280446,2.041419983
Cam09,39.0066,-123.0793,493133.9115,4317511.983,-0.757251263,-1.314880967,grassland,0.526131034,1.673192739,-1.034790397,-1.211073041,-0.51748538,-0.780237377,-0.86713469,-0.713128448,-0.769883573,-0.957055628,-0.783338249,-0.370231271,-1.427738667,-0.165031567,1.807294846
Cam10,39.0065,-123.0838,492744.2745,4317501.235,-0.865749836,0.180552483,woodland,0.531601012,0.791950703,-0.974115968,-1.361760855,-0.506706774,-0.920652509,0.027257109,0.523938298,-0.417843223,-1.023355484,-0.048255712,0.510068119,0.212194249,-0.431076139,0.828452468
Cam11,38.9927,-123.0757,493444.3304,4315969.22,-0.55693382,-1.472450733,woodland,1.395287871,0.524446607,-0.858971715,-1.052029729,-0.246940434,-0.710944235,1.529825807,1.889228106,1.460929036,1.511058569,1.160261631,-0.316720128,0.820035994,-0.245639041,0.335623741
Cam12,38.99191,-123.0711,493842.625,4315881.232,-0.701454401,-0.021261709,grassland,1.289293647,-0.070738561,-1.006332159,-0.826035202,-0.251126081,-0.688538015,1.919302821,2.333370209,1.373861074,0.01595832,0.279263914,1.706184864,-0.931443393,-0.200579554,0.93888396