Camera,Latitude,Longitude,Veg_Cover_General,Veg_Cover_Fewer_Categories,Pasture,Max_Detect_Distance,Camera_Direction,Longitude.UTM,Latitude.UTM,elevation.clean,slope.clean,vegetation.clean,vegetation.coarser.clean,vegetation.coarser.clean2,blm.dist.clean,bound.dist.clean,fence.dist.clean,hq.dist.clean,road.dist.clean,water.dist.clean,rugged9.clean,rugged25.clean,rugged49.clean,rugged81.clean,rugged121.clean,viewshed.clean,viewshed.reclass.clean,ndvi.16.clean.1,veg.edges.dist.clean,chap.edges.dist.clean,ndvi.16.clean.2
A03,39.03473,-123.102,Woodland_Sparse,Woodland,James I,10,N,491171.9596,4320635.569,-0.403376549,-0.175954252,9,2,2,-0.939771295,-1.141995072,-0.383897305,1.480749607,-0.336118668,2.795384884,-0.689526618,-1.090613365,-1.087444544,-0.166420594,0.260363519,0.602105796,0.3794415,1.457830787,1.502854943,-0.669198811,1.457830787
A13,39.00101,-123.1,Grassland,Grassland,Foster,20,N,491340.9468,4316893.42,-1.310959101,-0.293160945,5,3,3,1.073815465,-1.071814179,-0.008506075,-0.789842844,-0.71219635,0.644813418,-0.593704879,-0.644418061,-0.550065875,-0.99749136,-0.72630167,0.978189111,0.3794415,-1.650330186,0.516485691,1.258448839,-1.650330186
B02,39.03829,-123.094,Chaparral,Chaparral,James I,12,N,491864.7633,4321029.883,0.760355115,0.926839113,2,1,1,-1.191453338,-0.2111983,0.068288207,1.651123524,0.103288978,2.987707853,-0.429883748,0.06344422,1.1777879,1.356940627,1.255166888,-1.195210099,-1.766723156,-0.253258646,-0.208806589,-0.876905084,-0.253258646
B04,39.03155,-123.094,Woodland_Dense,Woodland,James II,15,NW,491863.9905,4320281.933,-0.090064593,0.457511187,9,2,2,-0.859224379,-0.298216343,-0.777573228,1.03628552,-0.079486586,0.966162324,-0.195756629,-0.517235994,-0.366822392,-0.723082721,-0.178873166,2.905365705,0.3794415,1.743335128,-0.326738656,-0.738556206,1.743335128
B06,39.0248,-123.094,Woodland_Dense,Woodland,S1,12,NW,491863.2166,4319532.874,-0.175824359,-0.548626602,9,2,2,-0.556324124,-0.548511863,-0.524415374,0.426875353,-0.393291384,-0.347791553,-0.812437057,-0.636243522,-0.394247204,-0.657221258,-0.733949065,1.78573525,0.3794415,1.378777862,0.59739393,-0.687786877,1.378777862
B08,39.01806,-123.093,Woodland_Sparse,Woodland,North,20,N,491949.0138,4318784.838,-0.631862342,0.018598881,9,2,2,-0.171559557,-0.168517232,-0.7547791,-0.191954479,-0.953355253,-0.143219486,0.160694301,-0.431497335,-0.631845057,-0.909693956,-1.215317488,0.424965262,0.3794415,-0.328531027,-0.184911013,0.150007531,-0.328531027
B10,39.01131,-123.093,Woodland_Sparse,Woodland,North,12,SE,491948.2484,4318035.781,-1.153982282,-0.419546425,9,2,2,0.271172285,-1.047827601,-0.294555962,-0.762719572,-0.894422531,-0.700278938,-0.817209959,-0.956948936,-1.09750247,-0.244867504,-0.359064817,-0.548569739,0.3794415,-0.986794293,-0.498623639,0.63785553,-0.986794293
B12,39.00457,-123.093,Chaparral,Chaparral,Foster,8,SW,491947.4843,4317287.834,-0.933145761,1.902149558,2,1,1,0.725203753,-0.266501278,-0.090570502,-1.218839884,-0.093117177,-0.537180543,0.432242572,2.049540997,2.555002213,0.815975428,0.334200889,0.812566519,0.3794415,0.405926675,-0.727409363,-0.937587142,0.405926675
B14,38.99783,-123.092,Woodland_Dense,Woodland,Foster Bio,20,W,492033.3146,4316539.801,-1.038579583,-0.755229831,9,2,2,1.174664974,-0.304441869,-0.069203682,-1.224745989,1.252879024,-0.102492861,-0.415296704,-0.555824876,0.105729274,0.807440996,0.611744106,-1.256874204,-3.010366917,-1.145240664,-0.040366977,1.340163946,-1.145240664
C03,39.03511,-123.087,Woodland_Dense,Woodland,James II,18,,492470.2414,4320676.39,1.108817816,-1.520596504,2,1,1,-1.296596408,-0.712192297,-0.57423687,1.289401293,-0.644801378,1.122071147,-0.580511272,-0.277040094,0.689302981,1.395167112,0.993032634,0.389786154,0.3794415,0.05239768,-0.316721529,-0.889532328,0.05239768
C05,39.02837,-123.086,Woodland_Sparse,Woodland,James II,15,NW,492556.0834,4319928.358,0.663161099,0.869054139,2,1,1,-0.971946359,0.600084722,-0.7048347,0.660670638,0.215345636,0.554936588,0.44094184,0.43365705,0.308583081,-0.192312375,-0.036863964,-0.742225945,0.079268284,-0.075533867,-0.781959355,-0.943970084,-0.075533867
C07,39.02162,-123.086,Grassland,Grassland,James III,15,S,492555.3754,4319179.3,0.116062872,-0.446681172,5,3,3,-0.509265423,1.21933341,0.016576238,0.034652639,-0.229024932,-0.573844075,0.422941238,0.11361102,-0.297320783,-0.400353879,-0.546584666,0.856757641,0.3794415,-1.164637327,-0.03312308,-0.669347763,-1.164637327
C09,39.01488,-123.086,Grassland,Grassland,North/Parasite Pens,20,SE,492554.6686,4318431.352,-0.480375111,-1.111581326,5,3,3,-0.041921746,0.769648612,-0.552322209,-0.590841949,-0.504206955,-0.105849288,-0.873957515,-0.90191406,-0.541532218,-0.62086463,-0.758101702,0.038858745,0.3794415,-1.054659843,-0.385518134,-0.352413893,-1.054659843
C11,39.00813,-123.085,Grassland,Grassland,Huntley,10,W,492640.5428,4317682.215,-0.868571937,-0.662696481,5,3,3,0.421596318,0.44004783,-0.105506405,-1.220120788,1.283265352,-0.646761417,-0.297726274,-0.11746864,-0.431061387,-0.714744329,-0.091980778,-1.009053946,0.3794415,-1.331659794,0.083042137,0.51791507,-1.331659794
C15,38.99464,-123.085,Grassland,Grassland,Watershed II,8,N,492639.1451,4316185.214,-0.897571683,1.103635073,5,3,3,1.360318422,0.39272365,1.039759636,-1.179035902,1.540347815,-0.854983807,-0.336538821,1.256529808,1.562342763,2.920665979,2.116460323,-0.381627828,0.3794415,-1.183951974,0.827420115,-0.755655587,-1.183951974
C17,38.9879,-123.085,Grassland,Grassland,Vasser,10,N,492638.4469,4315437.27,-1.206950784,0.392310947,5,3,3,1.829757452,-0.186955735,0.712536216,-0.578274906,0.513235748,-0.803314447,-0.429644138,0.493409365,0.772947192,0.740105987,0.393130362,-0.503362775,0.3794415,-1.396874785,-0.098904632,-0.479029357,-1.396874785
D04,39.03193,-123.079,Chaparral_Woodland,Chaparral,James III,20,SW,493162.3267,4320322.868,1.350430489,-1.526544571,4,2,2,-1.239815354,-0.463575661,-1.028569937,1.02737093,-0.817798018,-0.961223841,-0.912730575,-0.935225844,0.457609206,1.331799507,1.058595538,0.852154911,0.3794415,0.460682213,-0.882661045,-0.955753207,0.460682213
D06,39.02518,-123.079,Grassland,Grassland,James III,10,N,493161.6763,4319573.809,0.91482234,0.388185173,2,1,1,-0.770582199,1.434415698,1.865726471,0.410839885,-0.019886849,0.610615611,-0.558284223,-0.463574976,-0.566507399,-0.32513687,-0.593026459,-0.686443865,0.3794415,-0.567455173,-0.333560079,-0.891502559,-0.567455173
D08,39.01844,-123.078,Grassland,Grassland,Middle,15,E,493247.5963,4318825.787,0.244259447,-0.28846249,5,3,3,-0.300651103,2.786073923,-0.964025319,-0.177364588,0.529838085,-0.610222757,-0.434592605,-0.020739049,-0.369106084,-0.619850099,-0.830192268,-0.375862688,0.3794415,-0.537531853,-0.862675369,-0.831335962,-0.537531853
D10,39.01169,-123.078,Grassland,Grassland,Middle,9,NE,493246.9543,4318076.73,-0.217530221,-1.004564047,5,3,3,0.169022799,1.754058242,0.059638161,-0.749657452,0.659296572,0.093769506,-0.241972655,0.051734511,0.047610059,-0.83617425,-1.089254737,-0.706548929,0.3794415,0.519208312,-0.705195487,0.318049401,0.519208312
D12,39.00495,-123.078,Grassland,Grassland,Lower Horse,20,N,493246.3134,4317328.784,-0.745918572,-0.429488808,5,3,3,0.638749182,1.387813449,-0.278587222,-1.320236683,0.805100262,-0.678063571,1.002958417,0.371602833,0.035271123,-0.709258676,-0.474934995,0.810809135,0.3794415,-1.184317231,-0.418791205,2.368860722,-1.184317231
D14,38.99821,-123.077,Woodland_Dense,Woodland,Pepperwood,10,NE,493332.2666,4316580.765,-0.791820228,1.515193701,9,2,2,1.109786987,1.214130282,-0.613995016,-1.545702815,0.494240791,-0.575475931,-0.512109041,0.620879948,0.584344625,0.71180594,0.917906046,1.85942018,0.3794415,1.429603696,2.129580259,1.174814343,1.429603696
D16,38.99146,-123.077,Grassland,Grassland,Vasser,8,N,493331.6331,4315831.71,-0.723310411,-0.642665744,5,3,3,1.506773472,0.151054993,0.400237858,-0.96689254,-1.029499412,-0.56074053,0.405984551,0.232285321,0.692654729,1.400452733,1.359361529,0.232548967,0.3794415,-1.156721234,-0.431181371,-0.173407033,-1.156721234
E05,39.02874,-123.071,Chaparral_Woodland,Chaparral,Orchard,10,NNW,493854.4731,4319968.298,1.65776968,-0.270588815,2,1,1,-1.014850497,0.451991707,-0.915440917,0.894483626,-0.703951478,0.902638733,-0.626088738,-0.638937175,-0.601334751,-0.294674069,-0.038113732,-0.184118107,0.3794415,0.252871245,-0.51074785,-0.912235439,0.252871245
E07,39.022,-123.071,Woodland_Sparse,Woodland,Orchard,15,N,493853.8895,4319220.349,0.827749372,-0.40242365,9,2,2,-0.545225799,1.807021141,1.456620693,0.330308616,2.130068302,0.464528203,-0.757147551,-0.635078847,-0.811038494,-1.029243231,-1.199134707,-1.25588882,-2.975021601,-0.182361513,-0.356598675,-0.894198358,-0.182361513
E09,39.01526,-123.071,Grassland,Grassland,Orchard,12,ENE,493853.306,4318472.402,0.269932121,0.079320557,5,3,3,-0.075496987,1.351584077,0.748503566,-0.257691383,-1.167732,-0.775205851,-0.282340765,-0.642421842,-0.828790665,-1.26664865,-1.444385171,0.298122257,0.3794415,-1.245832086,-0.556831002,0.836038053,-1.245832086
E11,39.00851,-123.07,Woodland_Sparse,Woodland,Figtree,8,N,493939.3031,4317723.278,-0.340461224,1.167119503,9,2,2,0.384375006,-0.215969324,-0.144955173,-0.773377538,1.153592944,-0.432939321,0.062600508,-0.21318908,-0.532344818,-1.050914764,-1.358942628,-0.812200785,0.3794415,-0.079357348,-0.478622437,1.727857828,-0.079357348
E13,39.00177,-123.07,Woodland_Sparse,Woodland,Buck,20,N,493938.728,4316975.332,-0.839186609,-1.137272,9,2,2,0.722509027,-0.334999114,-0.644870579,-1.138277531,-0.900257349,-0.842119157,-0.938552082,-1.220218658,-1.146818042,-0.78167367,-0.448038489,2.697852135,0.3794415,0.941177189,-0.728346348,2.255724669,0.941177189
E15,38.99502,-123.07,Woodland_Dense,Woodland,Lake Bio,15,N,493938.1521,4316226.278,-0.870527864,0.144351989,9,2,2,1.083158016,-0.300305724,-0.723986864,-0.988502383,-0.217955336,-0.749827564,-0.413117498,-0.036241058,-0.162531406,0.030888617,0.146936163,0.592674732,0.3794415,1.430639386,0.477091342,1.825463653,1.430639386
E17,38.98828,-123.07,Grassland,Grassland,Vasser,10,N,493937.5771,4315478.334,-0.960982919,-0.950709164,5,3,3,1.474794507,-0.29094255,-0.723633289,-0.492180377,-0.208702967,-0.672615886,-0.822892845,-0.906201839,-0.768712163,-0.551864445,-0.058484804,2.299818277,0.3794415,-1.457175493,1.932070255,0.978365004,-1.457175493
F04,39.03231,-123.064,Grassland,Grassland,Orchard,15,N,494460.6489,4320364.017,1.888431549,0.031481117,5,3,3,-1.265738726,-0.536800146,0.483976871,1.408244014,-1.025218248,-0.723394573,-0.501649141,-0.853357792,-0.449255705,0.322232455,1.017757297,0.582051456,0.3794415,-1.226728797,-0.601989269,-0.793610215,-1.226728797
F06,39.02556,-123.064,Grassland,Grassland,Orchard,15,S,494460.122,4319614.958,1.417954922,0.125633106,9,2,2,-0.796186268,0.298211455,3.729572535,0.825690329,-0.519168794,0.153969139,-0.803610623,-0.691608071,-0.381783813,-0.140444294,-0.222346187,-0.806175292,0.3794415,0.622489452,-0.805059671,-0.832609296,0.622489452
F08,39.01882,-123.063,Grassland,Grassland,Orchard,20,NE,494546.1648,4318866.95,0.975879133,-0.645525455,5,3,3,-0.382994473,0.174726993,0.189415574,0.305605799,-0.499613941,-0.200086713,-0.763103008,-1.073058248,-0.784784675,-1.083811402,-1.279471755,-0.686582267,0.3794415,-0.965373933,-0.630045176,-0.698007762,-0.965373933
F10,39.01207,-123.063,Woodland_Sparse,Woodland,Middle,10,N,494545.6463,4318117.893,0.293638736,-0.411188513,9,2,2,-0.054821938,0.149577111,-0.16766642,-0.182121336,-0.851979136,-0.259029955,0.086445518,-0.636775255,-1.229196072,-1.235325694,-1.323605061,-0.914947212,0.3794415,-0.097642817,0.13541013,-0.122997232,-0.097642817
G09,39.01563,-123.056,Grassland,Grassland,Riley Ridge Bio,15,NW,495151.9287,4318512.555,0.75159812,-0.217417449,5,3,3,-0.496187538,-0.792348921,0.785151005,0.412318558,1.844766021,0.434401989,-0.549284935,-0.438321739,-0.313378036,-0.746003389,-1.143716335,-0.027176457,0.3794415,0.174320415,-0.652088881,-0.631501794,0.174320415
G11,39.00889,-123.055,Chaparral,Chaparral,Riley Ridge Bio,12,N,495238.0494,4317764.555,0.388111562,-0.805437863,2,1,1,-0.178791419,-0.740706027,0.660149813,0.119705133,0.635703444,-0.624078393,-0.732098937,-0.331949383,-0.58373636,-0.830757082,-0.769478023,-0.665262163,0.3794415,1.321407199,0.39529565,-0.806218743,1.321407199
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
